               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|
255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:255:255:000,3|255:255:255:000,3|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|
255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|
255:124:252:000,2|255:124:252:000,2|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:124:252:000,2|255:124:252:000,2|
255:124:252:000,2|255:255:255:000,3|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:255:255:000,3|255:124:252:000,2|
255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|
255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:124:252:000,2|255:124:252:000,2|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|
255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|255:255:255:000,3|
255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|
255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|255:124:252:000,2|
               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
