               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
255:124:252:000,1|               , |               , |               , |255:255:000:000,1|255:255:000:000,1|               , |               , |               , |255:124:252:000,1|
255:124:252:000,1|255:124:252:000,1|               , |               , |255:255:000:000,1|255:255:000:000,1|               , |               , |255:124:252:000,1|255:124:252:000,1|
               , |255:124:252:000,1|255:124:252:000,1|               , |               , |               , |               , |255:124:252:000,1|255:124:252:000,1|               , |
               , |               , |255:124:252:000,1|255:124:252:000,1|               , |               , |255:124:252:000,1|255:124:252:000,1|               , |               , |
255:255:000:000,1|               , |               , |255:124:252:000,1|255:124:252:000,1|255:124:252:000,1|255:124:252:000,1|               , |               , |255:255:000:000,1|
255:255:000:000,1|               , |               , |255:124:252:000,1|255:124:252:000,1|255:124:252:000,1|255:124:252:000,1|               , |               , |255:255:000:000,1|
               , |               , |255:124:252:000,1|255:124:252:000,1|               , |               , |255:124:252:000,1|255:124:252:000,1|               , |               , |
               , |255:124:252:000,1|255:124:252:000,1|               , |               , |               , |               , |255:124:252:000,1|255:124:252:000,1|               , |
255:124:252:000,1|255:124:252:000,1|               , |               , |255:255:000:000,1|255:255:000:000,1|               , |               , |255:124:252:000,1|255:124:252:000,1|
255:124:252:000,1|               , |               , |               , |255:255:000:000,1|255:255:000:000,1|               , |               , |               , |255:124:252:000,1|
               , |               , |               , |               , |               , |               , |               , |               , |               , |               , |
